address,description,projectName,typeOfUse,status,recentUpdate,email,phone,city,planner
549 S Anaheim Blvd,"A Request For An Amendment To Existing Minor Conditional Use Permit (Mcup No. Cup2019-06023) To An Existing Restaurant For The On-Site Sales And Consumption Of Beer, Wine And Distilled Sprits.",MCUP Amendment,Commercial,Approved,4/11/2023,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
1190 N Tustin Ave,A Request For A Conceptual Development Review To Demolish An Existing Building And Construct New Business And Financial Services (Bank) Building.,First Citizens Bank - Anaheim,Commercial,In Review,4/11/2023,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
2840 E La Cresta Ave,"A Request For A Conceptual Development Review To Construct A 9,600 Sq. Ft. Warehouse At An Existing Outdoor Storage Yard.",Perez Warehouse - La Cresta Avenue,Industrial,In Review,4/20/2023,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
1418 E Lincoln Ave,A Request For Conceptual Development Review To Construct A New 870 Sq. Ft. Covered Outdoor Dining Area In Conjunction With An Existing Restaurant-Full Service.,Original Pancake House Patio,Commercial,In Review,4/25/2023,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
3921 E Miraloma Ave,A Request For A Minor Conditional Use Permit To Permit An Automotive Repair Shop (Minor).,Superior Replacement Service Auto Repair,Commercial,In Review,4/28/2023,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
1015 N Citron St,A Request For Conceptual Development Review To Demolish An Existing Single-Family Home And Construct Five Single-Family Attached Residential Units.,Citron Condominium Development,Residential,In Review,5/2/2023,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
2221 W Colchester Dr,"A Request For A Variance To Permit Fewer Parking Spaces Than Required By Code, And To Permit A Landscape Setback That Is Less Than Required By Code",The Core Tutoring Center,Commercial,In Review,5/5/2023,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
1190 N East St,A Request For A Conditional Use Permit To Permit A New Drive-Through Restaurant.,Starbucks Drive-Through,Commercial,In Review,5/8/2023,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
1150 N Red Gum St F,Outdoor Storage,Rygel Advanced Machines,Industrial,In Review,5/8/2023,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
1601 S Anaheim Blvd,A Request For A Minor Conditional Use Permit To Permit Valet Parking At An Existing Hotel.,The Viv Hotel Valet Parking,Commercial,In Review,5/23/2023,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
1171 N West St,A Request For Conceptual Development Review For A Proposed 47-Unit Single-Family Attached Development.,Anaheim 47 - Brandywine Townhomes West Street,Residential,In Review,5/26/2023,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
701 E Ball Rd,A Request For Conceptual Development Review To Demolish Existing Structures And Construct A New Industrial Warehouse.,Hines - Ball Road Business Park,Industrial,In Review,6/5/2023,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
2952 W Lincoln Ave,A Request For A Vesting Tentative Tract Map And Final Plan Approval To Construct A 42 Unit Attached Single Family Residential Project.,Anaheim Nolin II,Mixed Use,In Review,6/7/2023,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
466 S Anaheim Hills Rd,Minor Conditional Use Permit For An Existing Restaurant For Beer And Wine Sales.,MCUP,Commercial,In Review,6/14/2023,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
1601 S Anaheim Blvd,A Request For A Tentative Parcel Map To Subdivide An Existing Development Into Two Air Lots.,Tentative Parcel Map,Commercial,In Review,6/29/2023,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
1559 W Embassy St  ,A Conceptual Development Review For A 185-Unit Multi-Family Residential Development.,Conceptual Development Review,Residential,In Review,7/3/2023,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
203 E Center St,A Request For A Conditional Use Permit To Permit An Escape Room.,Lost Temple Escape,Commercial,In Review,7/17/2023,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
1243 N Brookhurst St,A Request For A Conditional Use Permit For A Senior Living Facility.,Conditional Use Permit,Residential,In Review,7/17/2023,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
425 S Cooks Corner,A Request For A Variance To Allow A Building Height Greater Than 25 Feet.,Nguyen Custom Home,Residential,In Review,7/31/2023,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
200 W Midway Dr,A Request For Conceptual Development Review Of A 165 Unit Single-Family Attached Residential Project.,Legacy Anaheim,Residential,In Review,8/1/2023,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
275 E Santa Ana St,"A Request For A General Plan Amendment, Reclassification, Conditional Use Permit, And Tentative Tract Map, To Develop 56 Attached Single-Family Residential Dwelling Units.",The Mill,Residential,In Review,8/3/2023,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
2564 W Woodland Dr,A Request For A Minor Conditional Use Permit Allow A Medical Office Facility To Practice Ophthalmology And An Administrative Adjustment Request To Deviate From The Parking Requirements To Provide 4 Spaces Less Than Required By Code (Less Than 20% Reduction).,Medical Office,Commercial,In Review,8/15/2023,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
600 E Vermont Ave,"A Request For Conceptual Development Review For The Development Of A 253,850 Sq. Ft. Industrial Building.",Rexford Industrial 600-708 East Vermont,Industrial,In Review,8/16/2023,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
1600 W. Commonwealth,"62 Unit Multi-Family Residential Units, All Units Slated to Be Affordable.",Pointe Common,Residential,"Final CEQA ISMND Approved by City Council on April 4th, 2023",2023-11-01,Planning@cityoffullerton.com,(714)773-5773,Fullerton,Edgardo Caldera
245 N State College Blvd,Request to Construct 25 Residential Town Homes with Subterranean Parking.,245 N State College Blvd,Residential,"Approved by Zoning Administrator on April 6th, 2023.  Approved by Planning Commission on May 24th, 2023, Approved by City Council on July 18, 2023",2023-11-01,Planning@cityoffullerton.com,(714)773-5773,Fullerton,Edgardo Caldera
3 Parcels - 2 Parcels South of East Santa Fe & 3rd Northeast of S. Pomona Ave,"Proposed 124 room hotel, 140 residential units and minor commercial.",Parkwest Project,Mixed Use,"Council Approved Land Sale on December 20, 2022 Planning Commission Approved Entitlements on April 26, 2023 ISMND Question Responses(Nov 2022) Mitigation Monitoring and Reporting Program (MMRP) (Dec 2022)",2023-11-01,Planning@cityoffullerton.com,(714)773-5799,Fullerton,Matt Corrigan
 1500 S. Raymond,"(Hotel Fullerton) - Demolition of hotel and construction of industrial building (6,000 sq. ft.) and office pod (6,000 sq. ft.)",Rexford Industrial Fullerton,Industrial Development,"3rd Review Complete -DCRC March 1, 2023 Notice of Completion ISMND Public Review Final NOI Appendices A-I",2023-11-01,Planning@cityoffullerton.com,(714)773-5773,Fullerton,Edgardo Caldera
1901 Via Burton ,"Major Site Plan to demolish an existing industrial building and develop the site with a new 139,449-square-foot industrial warehouse building.",Rexford Via Burton Fullerton,Industrial Development,Entitlements Complete Currently Undergoing Construction.,2023-11-01,Planning@cityoffullerton.com,(714)773-5773,Fullerton,Edgardo Caldera
 801 Acacia Ave,"Request for a Major Site Plan, pursuant to Fullerton Municipal Code Section 15.47, to review site and architectural plans to construct a 186,632-square-foot tilt-up speculative warehouse on property zoned M-P-80ES", Acacia and Kimberly Industrial Project, Industrial Development," Preliminary Review DCRC Comments Provided on Sept 21. 2023 & Additional Comments on June 22, 2023",2023-11-01,Planning@cityoffullerton.com,(714)773-5773,Fullerton,Edgardo Caldera
Harbor Boulevard and Chapman Avenue,Proposed Public Parking Structure and Commercial development adjacent to Historic Fox Theatre on RDA surplus land.,The Fox Block,Commercial Development,Entitlements Complete City Council Approved Land Sale & Entitlements On 11/14/22 Pending Building Plan Check Submittal,2023-11-01,Planning@cityoffullerton.com,(714)773-5799,Fullerton,Matt Corrigan
2001 E. Orangethorpe Avenue,"Goodman Logistics Center, Fullerton- Construction of approximately 1.5 million sq. ft. Logistics Center.",Goodman Logistics,New Industrial Development,Entitlements Complete Construction Near Completion. Construction Est. Complete August of 2023,2023-11-01,Planning@cityoffullerton.com,(714)773-5773,Fullerton,Edgardo Caldera
415 S. Highland Ave.,"The project proposes to construct 20 residential apartment units of which 5% (one unit) are deed-restricted for very low income with 1,152 sq. ft. of ground floor commercial space on property currently partially improved with a car wash.",Casa Bella - Highland & Valencia,Mixed-Use,"Entitlements Complete Grading Permits have been issued, pending next steps from construction",2023-11-01,Planning@cityoffullerton.com,(714)773-5773,Fullerton,Edgardo Caldera
"2601, 2701, and 2751 E. Chapman Avenue",Student oriented housing - 420 units Additional Retail on 1st Floor.,Hub Fullerton,Student-Oriented Housing,Entitlements Complete Currently proceeding with construction (Building & Safety Inspections),2023-11-01,Planning@cityoffullerton.com,(714)773-5773,Fullerton,Edgardo Caldera
"223, 225, 229 East Orangethorpe Avenue and 1101 and 1111 South Lemon Street",Multi-Family Residential - 329 apartments.,Streetlights Fullerton,Mixed-Use,Entitlements Complete Currently Undergoing Plan Check Engineer Review,2023-11-01,Planning@cityoffullerton.com,(714)773-5799,Fullerton,Matt Corrigan
"1144 Rosecrans Avenue, 1715/1723 Euclid Street and 1701/1751/1801-1900 Euclid Street",153 unit (SFD and townhomes) with 4000 SF. FT. of commercial.,The Pines at Sunrise Village,Residential - SFD & Townhomes,Entitlements Complete Currently Undergoing Plan Check Engineering Review Demolition Permits Pulled,2023-11-01,Planning@cityoffullerton.com,(714)773-5773,Fullerton,Edgardo Caldera
 321 E. Amerige Avenue,Request to construct 8 multi-family residential units., East Amerige Avenue Project, Residential," Preliminary Review Fourth DCRC Review Comments Provided on September 21,  2023",2023-11-01,Planning@cityoffullerton.com,(714)738-6550,Fullerton,Andrew Kusch
 508-514 W. Amerige Avenue,Request to construct 20 multi-family residential units with 5 of those units being deed-restricted for Low Income residents., Pathways of Hope, Residential," Preliminary Review DCRC Comments Provided on July 9, 2023",2023-11-01,Planning@cityoffullerton.com,(714)773-5773,Fullerton,Edgardo Caldera
 737 N. Highland Avenue,A request for a Tentative Tract Map for 13 parcels and one letter lot (for private street) and a Major Site Plan Review for construction of 13 single-family residences., Highland Tract Map, Residential," Preliminary Review DCRC Comments Provided on September 1, 2022 NEW DCRC will be scheduled once revised plans are received",2023-11-01,Planning@cityoffullerton.com,(714)773-5773,Fullerton,Edgardo Caldera
 Southwest corner of Orangethorpe and Brookhurst,"Mixed-use, Development Project consisting of 4 parcels with existing uses (Gas Station, Dental office, Mexican Restaurant, and Mediterranean Cuisine Restaurant.) The Gas station use will remain and will receive a total remodel and the incorporation of a new drive thru car wash. Structures on the remainder of the parcels will be demolished and a new building consisting of commercial retail/office (6808 S.F.) on the street level with access from Orangethorpe Avenue.  63 residential units above the garage level.", Brookhurst/Orangethorpe Project, Mixed- Use," First Review Comments Provided on August 4, 2022",2023-11-01,Planning@cityoffullerton.com,(714)773-5773,Fullerton,Edgardo Caldera
 1604 S Harbor Blvd,Request to construct and operate an electronic billboard facing the 91 Freeway., Shoe City Billboard, Commercial," Entitlements Complete Approved by Planning Commission. Approved by City Council on April 4, 2023.",2023-11-01,Planning@cityoffullerton.com,(714)773-5773,Fullerton,Edgardo Caldera
 301 S. Acacia,Major Site Plan Review application pursuant to FMC Chapter 15.47 and Conditional Use Permit application pursuant to FMC Chapter 15.40 for proposed demolition of existing buildings and development and use of truck trailer and automobile parking located on property within 300 feet of residential zone., Truck Yard Project, Commercial,"  On July 19, 2023 Planning Commission continued this item to a date uncertain for future review",2023-11-01,Planning@cityoffullerton.com,(714)738-6550,Fullerton,Andrew Kusch
 312 N. Euclid,Request for a CUP and MSP to construct a new service station., 76 Gas Station, Commercial," DCRC Comments Provided March 7, 2023, Revised comments provided on July 9, 2023 Planning Commission Approved on August 16, 2023.",2023-11-01,Planning@cityoffullerton.com,(714)773-5773,Fullerton,Edgardo Caldera
 601 Placentia Ave,Request for a CUP modification to add an additional drive-through restaurant to the existing master plan. , Fullerton Crossings, Commercial," DCRC Comments Provided April 13, 2023.",2023-11-01,Planning@cityoffullerton.com,(714)773-5773,Fullerton,Edgardo Caldera
 505 S. Raymond,"Request for a Minor Site Plan, for an industrial development on property zoned M-G, Manufacturing General.", Raymond St. Project, Commercial," Third DCRC Comments Provided March 2, 2023. Public Works Comments Provided and Coordinating with Applicant. Director Approval Authorized July 31, 2023",2023-11-01,Planning@cityoffullerton.com,(714)773-5773,Fullerton,Edgardo Caldera
 2920 Nutwood Ave,"Request for a Conditional Use Permit and Development Agreement, pursuant to FMC Section 15.49.120, for a freeway - oriented billboard ", Freeway Oriented Billboard - Nutwood, Commercial," Second DCRC Comments Provided April 12, 2023.",2023-11-01,Planning@cityoffullerton.com,(714)773-5773,Fullerton,Edgardo Caldera
 Various Areas In North Fullerton.,Major Residential Development.,West Coyote Hills,"Residential, Open Space, Commercial Development","Chevron has been provided until December 7, 2023 to submit a Final Tract Map to the City.",2023-11-01,Planning@cityoffullerton.com,(714)738-6884,Fullerton,Chris Schaefer
"Project Location:Northeast corner of Garden Grove Blvd and Brookhurst Street, at 10201 and 10231 Garden Grove Blvd.","Project Description:Site Plan approval to construct a five-story mixed-use development on a 1.86-acre site consisting of two parcels with 9,786 square feet of retail space, 9,270 square feet of medical space, and 52 apartment units with a 22.5% affordable housing density bonus for ""very low-income"" households. Pursuant to the State Density Bonus law, the applicant requested one (1) concessions and four (4) waivers from the GGMU-2 (Garden Grove Mixed Use 2) zone development standards: (1) a concession to reduce the minimum required private balcony area and dimensions for each unit, (2) a waiver to reduce the minimum active recreation dimensions and to allow the indoor and roof deck recreation areas to contribute to more than 50% of the required open space; (3) a waiver to allow a fire department turn-around area to encroach into the required 10-foot rear setback area; (4) a waiver to allow the building to exceed the maximum building height of 50 feet or 4-stories; and (5) a waiver to reduce from the minimum 300 cubic feet of private storage per unit. Also, Tentative Parcel Map approval to consolidate the two (2) existing parcels into a single-lot to accommodate the proposed development.",Mixed Use Building - Northeast corner of Brookhurst Street and Garden Grove Boulevard,,Status:Project is in plan check.,2023-11-01,mariap@ggcity.org,(714)741-5323,Garden Grove,Maria Parra
"Project Location:North side of Lampson Avenue, between Magnolia Street and Loraleen Street, at 9071 Lampson Ave.","Project Description:Approval of a 13-unit small lot subdivision project on an approximately 1.6 acre site. The specific land use entitlement approvals requested included the following: (i) residential Planned Unit Development zoning to facilitate the development of the small lot subdivision project; (ii) Site Plan approval to construct 13 two-story homes along with associated site improvements; and (iii) in accordance with the State Subdivision Tract Map, approval to subdivide the subject properties into 17 separate lots.",Lampson Small Lot Subdivision,,Status:Project is in plan check.,2023-11-01,info@ggcity.org,(714)741-5312,Garden Grove,Mary Martinez
"Project Location:Southwest corner of Western Avenue and Lincoln Way, at 7390 and 7440 Lincoln Way.","Project Description:Site Plan approval to construct a new 88,164 square-foot shell industrial building following the demolition of a 76,500 square-foot building at 7390 Lincoln Way and a 29,950 square-foot building at 7440 Lincoln Way. Also, a Tentative Parcel Map to consolidate 7390 Lincoln Way and 7440 Lincoln Way into a single parcel.",Industrial Building on Lincoln Way,,Status:Project is in plan check.,2023-11-01,info@ggcity.org,(714)741-5312,Garden Grove,Priit Kaskla
"Project Location:North side of Westminster Avenue, west of Brookhurst Street, at 13861 Brookhurst Street.","Project Description:Site Plan approval to expand an existing 180,449 square foot shopping center, which is currently improved with the Garden Grove Superstore, a Target retail store, and a Firestone auto repair shop, by constructing (i) two (2) new 4,000 square foot drive thru pad buildings, (ii) one (1) new 4,000 square foot multi-tenant commercial building attached to the existing Target, (iii) replacing the existing Firestone auto repair shop with a 5,600 square foot drive thru multi-tenant building, and (iv) removing Target’s 13,600 square foot garden center.",Target Shopping Center Expansion,,Status:Project is under construction.,2023-11-01,info@ggcity.org,(714)741-5312,Garden Grove,Mary Martinez
"Project Location:East side of Harbor Boulevard, south of Garden Grove Boulevard, at 13200-13220 Harbor Boulevard.","Project Description:Site Plan approval to construct an approximately 4,000 square foot, 2-unit, restaurant pad building within the parking lot of an existing multi-tenant shopping center, Harbor Place Center. Both restaurants will maintain 500 square foot outdoor patio areas. One restaurant will be approximately 2,800 square feet with a drive-through lane and the second restaurant will be approximately 1,200 square feet. Associated improvements include the reconfiguration of the shopping center's parking lot to accommodate the new pad building as well as landscape improvements where the new pad building will be located.",Harbor Place Pad Building,,Status:Project is under construction.,2023-11-01,info@ggcity.org,(714)741-5312,Garden Grove,Mary Martinez
"Project Location:West side of Choisser Road and north of Twintree Lane at 12233, 12235, 12237, and 12239 Choisser Road.","Project Description:Approval of (1) a Vesting Tentative Parcel Map to consolidate four existing parcels with a combined lot area of 28,793 square feet (0.66 acres) into a single lot to facilitate the development of a residential apartment complex and (2) a Site Plan for a six-story, 53 unit-residential apartment complex on the combined site. The project includes six (6) affordable housing units, five (5) units designated for “Very Low-Income” households, and one unit designated for “Low-Income” households. Inclusion of the five (5) very low-income units qualified the project for a density bonus, concessions, waivers, and reduced parking pursuant to the State Density Bonus Law, and the project was designed to incorporate concessions and waivers of development standards pursuant to the State Density Bonus Law.",Choisser Apartments,,Status:Project is pending plan check submittal.,2023-11-01,mariap@ggcity.org,(714)741-5323,Garden Grove,Maria Parra
"Project Location:Northeast corner of Harbor Boulevard and Twintree Lane, west of Choisser Road at 12222, 12252, 12262, 12272, 12292, and 12302 Harbor Boulevard; 12511, 12531, 12551, and 12571 Twintree Lane; 12233, 12235, 12237, and 12239 Choisser Road.","Project Description:Approval of a resort hotel project known as the Site C following approval of a General Plan Amendment and Planned Unit Development No. PUD 128 12 in 2012 to allow for the proposal of hotel and ancillary uses such as pools, spas, and fitness centers. The project consists of two (2) full-service hotels and one (1) limited service hotel, which will include conference/meeting banquet space, hotel restaurant space, retail space, freestanding pad restaurant/entertainment space, and a multi-level parking garage.",Site C Hotel,,Status:Project is in plan check.,2023-11-01,mariap@ggcity.org,(714)741-5323,Garden Grove,Maria Parra
"Project Location:North side of Garden Grove Boulevard, south side of Acacia Parkway, between Civic Center Drive and 9th Street, at 11352 Acacia Parkway, 11412 Acacia Parkway, 12911 7th Street, 12902 7th Street, 12912 7th Street, 12932 7th Street, 12911 8th Street, 11361 Garden Grove Boulevard, and 11391 Garden Grove Boulevard.","Project Description:Approval of a Site Plan, associated Parking Management Plan, and Conditional Use Permit for the Cottage Industries Art Block Project. The proposed Site Plan would allow the conversion of nine (9) existing residential structures and nine (9) existing accessory structures, along with the construction of six (6) new commercial structures, with a total combined square footage of 2,800 square feet, to accommodate new commercial restaurant, office, personal service, retail, and motel uses; and, the construction of an accessory trellis structure. The proposed Conditional Use Permit would allow the operation of a motel with a total of (10) motel rooms on five (5) properties of the Art Block.",Cottage Industries,,Status:Project is under construction.,2023-11-01,info@ggcity.org,(714)741-5312,Garden Grove,Mary Martinez
"Project Location:West side of Valley View Street, south of Chapman Avenue at 12101 and 12111 Valley View Street.","Project Description:Redevelopment of a 2.71-acre site, comprised of two parcels currently improved with the Starlight 4 Star Cinema and a vacant 6,040 square foot restaurant, with a new automatic car wash, a new pad drive-thru restaurant, a new sit-down restaurant, and an expansion of the existing movie theater. The Planning Commision approved the following: (i) a recommendation that the City Council determine that the Project is categorically exempt from the California Environmental Quality Act (CEQA); (ii) a recommendation that the City Council approve a text amendment to Planned Unit Development No. PUD-104-73 to modify the permitted uses on the Site and the sign requirements of the PUD to facilitate the Project (iii) approval of a Lot Line Adjustment to modify existing lot lines to consolidate the two (2) subject parcels into one (1) parcel; (iv) approval of a Site Plan to allow the construction of a 4,241 square foot automatic car wash, an 1,870 square foot drive thru restaurant, a 2,700 square foot sit-down restaurant, and a 2,846 square foot expansion to the existing movie theater, along with related site improvements; and (v) approval of a Conditional Use Permit to allow the operation of the automatic car wash.",West Grove Center Redevelopment Project,,Status:Project is under construction.,2023-11-01,mariap@ggcity.org,(714)741-5323,Garden Grove,Maria Parra
"Project Location:Triangular site is bounded by Brookhurst Street, Garden Grove Boulevard, and Brookhurst Way, addressed as 12791 through 12861 Brookhurst Street (west side of Brookhurst Street), 10071 through 10151 Garden Grove Boulevard (north side of Garden Grove Boulevard only), and 12882 Brookhurst Way.","Project Description:Approval of Planned Unit Development mixed use zoning to allow the future development of a 13.9 acre site to consist of approximately 500 residential apartment units, a 100 room hotel, up to 80,000 square feet of new retail, dining, and entertainment space, and a 1-acre park.",Brookhurst Place,,Status:Project is in plan check.,2023-11-01,info@ggcity.org,(714)741-5312,Garden Grove,Mary Martinez
837 E Adams Ave,Conversion of an existing RV garage into a two bedroom ADU,Heidi Chen Chew,,Pending,08/18/2021,tchhan@cityoforange.org,(714) 744-7272,Orange,Tiffany Chhan
1502 E Adams Ave,Multi-Family garage conversion into a 663 square foot ADU.,Navarrete Multi- Family ADU,,Approved,09/27/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
2089 N Agate St,"A request to add two bedrooms and three bathrooms to an existing single family residence, and construct a detached ADU and garage.",Ramirez Residence,,Pending,09/28/2022,mschwartz@cityoforange.org,(714) 744-7220,Orange,Monique Schwartz
1115 E Alder Grove Cir,"New 590 square foot attached one bedroom, one bathroom ADU.",Magsanide ADU,,Denied,07/06/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
171 S Anita Dr,Exterior and interior modifications to an existing two- story office building and related site improvements.,Turner Healthcare,,Pending,09/18/2023,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
553 S Arlington Rd,New second story addition and convert existing living space on first floor into an ADU.,Millard Addition and ADU,,Denied,10/12/2022,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
413 E Barkley Ave,Construct a new detached 633 SF ADU.,Stout ADU,,Pending,04/04/2023,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
630 N Batavia St,"Construct 3 new self-storage buildings totaling 133,443 SF. Building A: 1-story 13,589 SF storage and 1,558 SF office, Building B: 3-story 99,645 SF storage, Building C: 1-story 18,651 SF storage.",Batavia Self Storage,,Pending,04/04/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
2060 N Batavia St,"New warehouse building to replace fire damage buildings. Totaling 12,265 SF",FXI Warehouse,,Pending,12/22/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
2425 N Batavia St,,DISH Wireless,,Approved,03/01/2023,,,Orange,
3126 E Bradbury Ct,"Construction of a new 11,728 square foot single- family residence on a vacant lot.",Sheikh Residence,,Pending,05/23/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
7102 E Cambria Cir,New 600 square foot detached ADU with one bedroom and one bathroom.,Slater- Shaw ADU,,Pending,08/29/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
1550 N Cambridge St,New wireless facility to be mounted on an SCE tower,Dish Wireless,,Approved,04/06/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
1502 Cannon St,AT&T Wireless Facility,AT&T Wireless,,Approved,08/09/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
267 N Center St,New 846 square foot ADU with attached 149 square foot bicycle garage in the Old Towne Historic District,Meyer ADU,,Pending,06/14/2023,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
415 S Center Street,Proposed 2nd story balcony,Hodges 2nd Story Balcony,,Pending,04/19/2023,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
1415 & 1417 E Century Dr,"Two-story addition of 3,549 SF living area and 461 SF attached garage and refacing existing 685 SF ADU.",Home Expo Group Developme nt Addition and Remodelin g,,Pending,04/19/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
1415 E Century Dr,New proposed 495 SF JADU,Home Expo Group Developme nt New JADU,,Pending,04/19/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
208 E Chapman Ave,Request for an ABC Type ?? License at an Italian Restaurant and Cafe.,Centro Orange,,Pending,05/17/2023,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
212 E Chapman Ave,Request to install wall signs for new restaurant,R & B Tea and Fusion Restaurant,,Pending,07/28/2023,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
407 E Chapman Ave,Proposed Dish Wireless facility,Dish Wireless,,Pending,05/17/2023,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
1610 E Chapman Ave,ABC Type 41 Request for new Restaurant,Core Burger,,Approved,04/19/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
2503 E Chapman Ave,Proposed general plan amendment and zone change to allow for the development of 158 senior apartments and storage facility.,Chapman Yorba VIII,,Pending,07/31/2023,rgarcia@cityoforange.org,(714) 744-7231,Orange,Robert Garcia
3208 E Chapman Ave,"A proposal to construct a new one-story veterinary hospital (2,644 SF) on an open paved lot (12,179 SF). The hospital will not include overnight boarding.",Friendly Animal Hospital,,Pending,05/18/2023,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
3409 E Chapman Ave,Co-location of a new carrier (Dish Wireless) onto an existing wireless communication facility.,Dish Wireless,,Pending,09/25/2023,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
3730 E Chapman Ave,"Exterior modifications, 213 square foot addition, and minor site improvements to existing Del Taco drive-through restaurant.",Dell Taco,,Pending,08/09/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
,,92868,,Denied,,,,Orange,
3036 W Chapman Ave,Applicant has requested to build an ADU,Renaissanc e Bldg. A - ADU 2,,Pending,07/10/2023,,,Orange,
160 S Citrus Street,Demolish existing detached garage and storage shed and building new 796 square foot detached ADU with two bedrooms and one bathroom.,Culvy ADU,,Pending,08/03/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
417 N Citrus Street,New proposed detached 449 SF ADU,Clark ADU,,Approved,06/06/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
"20 City Boulevard West, Unit 100",A proposal to operate a new escape room at the Outlets of Orange.,The Escape Game,,Pending,09/13/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
500 West City Pkwy,Construct a wireless communication facility on office building screened by FRP walls on 3 building corners.,T-Mobile Rooftop Wireless Facility,,Approved,02/25/2021,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
365 N Clark St,Applicant has requested to build an ADU,Kearl ADU,,Pending,02/10/2023,,,Orange,
590 N Colby St,Applicant has requested to build an ADU,Medina ADU,,Approved,05/19/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
500 W Collins Ave,,Orange Collins Logistics Center,,Pending,,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
4215 E Court Ave,,Garcia Second Duplex Unit,,Pending,,,,Orange,
2626 E Denise Ave,,Nguyen Residence,,Pending,,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
2059 N Diamond St,Applicant has requested to build an ADU,Heaton JADU,,Pending,,,,Orange,
221 S Earlham St,A request to construct two new detatched units and an attached ADU to the rear unit.,Earlham Duplex,,Pending,08/24/2022,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
311 N Earlham St,Applicant has requested to build an ADU,Nguyen ADU,,Pending,08/07/2023,,,Orange,
